initial state; best solution length; population size; initial sequence length; max iterations; selection ratio; number of crossovers; number of mutations; crossover ratio; tolerance; solution best fitness; solution iteration; solution length; execution time
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 4; 5; 1395969
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 4; 5; 1364195
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 6; 5; 2351260
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 6; 5; 2508091
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 6; 5; 2967227
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 6; 5; 1004869
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 6; 5; 984699
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 6; 5; 975200
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 4; 5; 1257872
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 4; 5; 1213244
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 4; 5; 1223700
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 6; 5; 2652693
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 6; 5; 2800163
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 6; 5; 3730423
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 7; 5; 3957583
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 7; 5; 3577735
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 7; 5; 3793528
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 29; 5; 12408343
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 29; 5; 12299682
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 29; 5; 8063182
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 5; 5; 2872314
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 5; 5; 2022645
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 5; 5; 2054058
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 18; 7; 10192395
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 18; 7; 10749208
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 18; 7; 10103005
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 6; 5; 4089332
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 6; 5; 3463463
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 6; 5; 3413504
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 16; 5; 5255192
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 16; 5; 5054363
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 16; 5; 5290799
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 13; 5; 6780949
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 13; 5; 5634946
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 13; 5; 6434011
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 8; 5; 7743143
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 8; 5; 2323383
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 8; 5; 3147578
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 9; 7; 5802101
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 9; 7; 5253510
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 9; 7; 5364101
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 16; 5; 5245896
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 16; 5; 5315883
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 16; 5; 4860385
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 12; 5; 5765678
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 12; 5; 5503907
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 12; 5; 5343444
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 9; 5; 4885898
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 9; 5; 3055682
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 9; 5; 2843424
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 2; 5; 970227
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 2; 5; 808100
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 2; 5; 1390345
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 32; 5; 16057877
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 32; 5; 13917687
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 32; 5; 14837074
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 21; 5; 13647098
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 21; 5; 13829556
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 21; 5; 13165963
283164705; 5; 100; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 7; 5; 5330107
