initial state; best solution length; population size; initial sequence length; max iterations; selection ratio; number of crossovers; number of mutations; crossover ratio; tolerance; solution best fitness; solution iteration; solution length; execution time
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 8; 7; 2179100
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 8; 7; 2123000
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 8; 7; 2077200
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 10; 9; 3437400
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 10; 9; 3381100
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 10; 9; 4075500
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 16; 5; 2885100
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 16; 5; 3842300
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 16; 5; 3819600
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 11; 5; 3200800
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 11; 5; 3232600
283164705; 5; 50; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 11; 5; 2865800
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 9; 5; 2850400
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 9; 5; 3152300
283164705; 5; 50; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 9; 5; 2773800
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 2; 5; 859600
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 2; 5; 728200
283164705; 5; 50; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 2; 5; 816400
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 32; 5; 9197400
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 32; 5; 9246200
283164705; 5; 100; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 32; 5; 10535100
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 21; 5; 11832100
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 21; 5; 11499700
283164705; 5; 100; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 21; 5; 11324700
283164705; 5; 100; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 7; 5; 5282200
283164705; 5; 100; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 7; 5; 3458700
283164705; 5; 100; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 7; 5; 3184900
283164705; 5; 100; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 12; 7; 6097600
283164705; 5; 100; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 12; 7; 6393500
283164705; 5; 100; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 12; 7; 6326000
283164705; 5; 100; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 25; 5; 7287900
283164705; 5; 100; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 25; 5; 10500300
283164705; 5; 100; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 25; 5; 7532100
283164705; 5; 100; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 16; 5; 6305900
283164705; 5; 100; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 16; 5; 6125900
283164705; 5; 100; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 16; 5; 6621500
283164705; 5; 100; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 12; 5; 6368700
283164705; 5; 100; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 12; 5; 7380700
283164705; 5; 100; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 12; 5; 8512600
283164705; 5; 100; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 8; 5; 6611500
283164705; 5; 100; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 8; 5; 6245500
283164705; 5; 100; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 8; 5; 4683300
283164705; 5; 100; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 30; 5; 10083300
283164705; 5; 100; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 30; 5; 11001200
283164705; 5; 100; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 30; 5; 10839900
283164705; 5; 100; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 18; 5; 7423500
283164705; 5; 100; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 18; 5; 7005900
283164705; 5; 100; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 18; 5; 9201200
283164705; 5; 100; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 12; 5; 6382500
283164705; 5; 100; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 12; 5; 6196700
283164705; 5; 100; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 12; 5; 6274000
283164705; 5; 100; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 8; 5; 4976300
283164705; 5; 100; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 8; 5; 4822700
283164705; 5; 100; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 8; 5; 4921700
364102875; 10; 10; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 51; 10; 3308200
364102875; 10; 10; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 51; 10; 3384300
364102875; 10; 10; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 51; 10; 3304500
364102875; 10; 10; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 25; 10; 2298700
364102875; 10; 10; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 25; 10; 3228300
364102875; 10; 10; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 25; 10; 3554500
364102875; 10; 10; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 28; 12; 6436700
364102875; 10; 10; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 28; 12; 4753600
364102875; 10; 10; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 28; 12; 4647900
364102875; 10; 10; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 9; 14; 6445700
364102875; 10; 10; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 9; 14; 1304400
364102875; 10; 10; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 9; 14; 1647800
364102875; 10; 10; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 57; 10; 3558500
364102875; 10; 10; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 151; 12; 12781900
364102875; 10; 10; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 99; 10; 6212800
364102875; 10; 10; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 54; 12; 7329500
364102875; 10; 10; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 111; 14; 14712200
364102875; 10; 10; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 97; 10; 12693400
364102875; 10; 10; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 20; 10; 3153200
364102875; 10; 10; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 20; 10; 4909400
364102875; 10; 10; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 20; 10; 3678700
364102875; 10; 10; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 15; 12; 3281800
364102875; 10; 10; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 15; 12; 3270800
364102875; 10; 10; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 15; 12; 2854100
364102875; 10; 10; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 39; 10; 3242800
364102875; 10; 10; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 39; 10; 3391700
364102875; 10; 10; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 39; 10; 3344600
364102875; 10; 10; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 17; 10; 3139200
364102875; 10; 10; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 17; 10; 2973500
364102875; 10; 10; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 17; 10; 3361500
364102875; 10; 10; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 16; 10; 4830700
364102875; 10; 10; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 16; 10; 4078700
364102875; 10; 10; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 16; 10; 4324500
364102875; 10; 10; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 16; 10; 5218700
364102875; 10; 10; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 16; 10; 5016700
364102875; 10; 10; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 16; 10; 4509100
364102875; 10; 50; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 82; 10; 20002900
364102875; 10; 50; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 82; 10; 19421500
364102875; 10; 50; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 82; 10; 17407700
364102875; 10; 50; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 30; 10; 7501800
364102875; 10; 50; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 30; 10; 8310600
364102875; 10; 50; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 30; 10; 7548800
364102875; 10; 50; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 39; 12; 13341600
364102875; 10; 50; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 39; 12; 15120200
364102875; 10; 50; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 39; 12; 13232500
364102875; 10; 50; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 21; 12; 8397400
364102875; 10; 50; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 21; 12; 10472000
364102875; 10; 50; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 21; 12; 8325100
364102875; 10; 50; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 62; 10; 12037300
364102875; 10; 50; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 62; 10; 11454900
364102875; 10; 50; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 62; 10; 10562800
364102875; 10; 50; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 44; 12; 11954200
364102875; 10; 50; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 44; 12; 14299200
364102875; 10; 50; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 44; 12; 11540000
364102875; 10; 50; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 70; 16; 27277000
364102875; 10; 50; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 63; 10; 18037900
364102875; 10; 50; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 63; 10; 18868300
364102875; 10; 50; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 28; 20; 9947600
364102875; 10; 50; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 28; 20; 11385600
364102875; 10; 50; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 28; 20; 11516200
364102875; 10; 50; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 47; 10; 7881400
364102875; 10; 50; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 47; 10; 8398500
364102875; 10; 50; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 47; 10; 7880900
364102875; 10; 50; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 34; 10; 9853800
364102875; 10; 50; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 34; 10; 9884900
364102875; 10; 50; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 34; 10; 10011800
364102875; 10; 50; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 29; 10; 11331200
364102875; 10; 50; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 29; 10; 11362000
364102875; 10; 50; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 29; 10; 12028400
364102875; 10; 50; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 28; 10; 11942300
364102875; 10; 50; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 28; 10; 13100200
364102875; 10; 50; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 28; 10; 12584800
364102875; 10; 100; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 140; 10; 42187900
364102875; 10; 100; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 126; 10; 35407700
364102875; 10; 100; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 126; 10; 37316500
364102875; 10; 100; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 105; 10; 36259300
364102875; 10; 100; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 105; 10; 36892500
364102875; 10; 100; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 105; 10; 36622600
364102875; 10; 100; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 38; 10; 18805300
364102875; 10; 100; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 38; 10; 16883600
364102875; 10; 100; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 38; 10; 15612300
364102875; 10; 100; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 26; 18; 13899200
364102875; 10; 100; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 26; 18; 13589000
364102875; 10; 100; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 26; 18; 14096000
364102875; 10; 100; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 125; 10; 32978000
364102875; 10; 100; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 124; 10; 36217700
364102875; 10; 100; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 124; 10; 35598700
364102875; 10; 100; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 79; 10; 34906800
364102875; 10; 100; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 78; 10; 28579000
364102875; 10; 100; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 78; 10; 27258900
364102875; 10; 100; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 48; 16; 23409100
364102875; 10; 100; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 48; 16; 25222100
364102875; 10; 100; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 48; 16; 27061900
364102875; 10; 100; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 37; 16; 22752200
